2025-04-29 07:36:13,441 - INFO - 2025-04-29 07:36:13.441891: Status da tarefa bpa: completed
2025-04-29 07:36:22,140 - INFO - ✅ CEP 07404210 atualizado: Serra dos Tinguás, Mirante Do Arujá (IBGE: 350390)
2025-04-29 07:36:22,431 - INFO - ✅ CEP 07401355 atualizado: Pedro de Toledo, Vila Riman (IBGE: 350390)
2025-04-29 07:36:23,560 - INFO - ✅ CEP 07428075 atualizado: Coral, Arujá 5 (IBGE: 350390)
2025-04-29 07:36:23,982 - INFO - ✅ CEP 07417360 atualizado: David Rodrigues de Ávila, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:24,301 - INFO - ✅ CEP 07401090 atualizado: Elpidio Ferreira Guimarães, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:36:24,612 - INFO - ✅ CEP 07403065 atualizado: Sebastião Parreira, Arujamérica (IBGE: 350390)
2025-04-29 07:36:24,924 - INFO - ✅ CEP 07429310 atualizado: Parque da Chapada dos Guimarães, Residencial Real Park (IBGE: 350390)
2025-04-29 07:36:26,044 - INFO - ✅ CEP 07438728 atualizado: Genival Ferreira, Estância Pacaembu (IBGE: 350390)
2025-04-29 07:36:26,548 - INFO - ✅ CEP 07402835 atualizado: Belém, Jardim Real (IBGE: 350390)
2025-04-29 07:36:26,954 - INFO - ✅ CEP 08580440 atualizado: Pacaembu, Jardim São Armando (IBGE: 352310)
2025-04-29 07:36:27,405 - INFO - ✅ CEP 07401100 atualizado: Meridiano Pérola, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:36:30,512 - INFO - ✅ CEP 07471779 atualizado para 07417195: Rogério de Andrade Santos, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:30,974 - INFO - ✅ CEP 08592190 atualizado: Orlândia, Parque Recanto Mônica (IBGE: 352310)
2025-04-29 07:36:31,373 - INFO - ✅ CEP 07400555 atualizado: Monteiro Lobato, Centro (IBGE: 350390)
2025-04-29 07:36:33,000 - INFO - ✅ CEP 07417285 atualizado: Benedito Palmiro Rodrigues, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:33,539 - INFO - ✅ CEP 07428320 atualizado: Serpentina, Jardim Fazenda Rincão (IBGE: 350390)
2025-04-29 07:36:33,866 - INFO - ✅ CEP 07400455 atualizado: Wenceslau Braz, Jardim Rincão (IBGE: 350390)
2025-04-29 07:36:34,180 - INFO - ✅ CEP 07405465 atualizado: Perdizes, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:36:34,536 - INFO - ✅ CEP 07411440 atualizado: Azaléias, Cidade Nova Arujá (IBGE: 350390)
2025-04-29 07:36:35,161 - INFO - ✅ CEP 07401125 atualizado: Albino Rodrigues Neves, Arujá Center Ville (IBGE: 350390)
2025-04-29 07:36:35,610 - INFO - ✅ CEP 07432470 atualizado: das Mangueiras, Recanto Primavera (IBGE: 350390)
2025-04-29 07:36:36,006 - INFO - ✅ CEP 07176005 atualizado: Velha Guarulhos-Arujá, Jardim Álamo (IBGE: 351880)
2025-04-29 07:36:36,378 - INFO - ✅ CEP 07438520 atualizado: Ravena, Jardim Imperial (IBGE: 350390)
2025-04-29 07:36:36,851 - INFO - ✅ CEP 07434100 atualizado: Alberto Hinoto, Jardim Limoeiro (IBGE: 350390)
2025-04-29 07:36:38,591 - INFO - ✅ CEP 07457005 atualizado para 07405470: Pelicano, Jardim Pinheiro (IBGE: 350390)
2025-04-29 07:36:39,076 - INFO - ✅ CEP 07428230 atualizado: Jade, Arujá 5 (IBGE: 350390)
2025-04-29 07:36:39,786 - INFO - ✅ CEP 07230350 atualizado: Tamboriu, Parque Uirapuru (IBGE: 351880)
2025-04-29 07:36:40,653 - INFO - ✅ CEP 07418000 atualizado: Coronel José Lourenço de Souza, Chácara Bananal (IBGE: 350390)
2025-04-29 07:36:44,102 - INFO - ✅ CEP 70400460 atualizado para 07400515: Washington Luiz Pereira de Souza, Vila Flora Regina (IBGE: 350390)
2025-04-29 07:36:44,774 - INFO - ✅ CEP 07437010 atualizado: dos Figueiras, Parque Dos Jacarandás (IBGE: 350390)
2025-04-29 07:36:47,171 - INFO - ✅ CEP 07403110 atualizado: Eurípedes Antonio do Carmo, Arujamérica (IBGE: 350390)
2025-04-29 07:36:47,600 - INFO - ✅ CEP 07400015 atualizado: Deolinda Nóbrega de Almeida, Lavorare Arujá (IBGE: 350390)
2025-04-29 07:36:47,973 - INFO - ✅ CEP 07417580 atualizado: Luiz Talarico, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:49,552 - INFO - ✅ CEP 72004000 atualizado para 07400200: Luiz Abrahão, Jardim Vitória (IBGE: 350390)
2025-04-29 07:36:49,950 - INFO - ✅ CEP 07432455 atualizado: dos Abacateiros, Recanto Primavera (IBGE: 350390)
2025-04-29 07:36:50,359 - INFO - ✅ CEP 07417125 atualizado: Benjamin de Jesus Rodrigues, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:50,788 - INFO - ✅ CEP 07400230 atualizado: Getúlio Vargas, Jardim Ângelo (IBGE: 350390)
2025-04-29 07:36:51,313 - INFO - ✅ CEP 07417370 atualizado: Armando Colangelo, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:51,762 - INFO - ✅ CEP 07402790 atualizado: Rio de Janeiro, Jardim Real (IBGE: 350390)
2025-04-29 07:36:52,142 - INFO - ✅ CEP 07417315 atualizado: Pedro Leme, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:52,595 - INFO - ✅ CEP 08590470 atualizado: das Canavieiras, Jardim Deliy (IBGE: 352310)
2025-04-29 07:36:54,111 - INFO - ✅ CEP 07400665 atualizado: Maria Aparecida Alegri, Arujá Centro Residencial (IBGE: 350390)
2025-04-29 07:36:54,447 - INFO - ✅ CEP 07242430 atualizado: Coração de Jesus, Cidade Parque Alvorada (IBGE: 351880)
2025-04-29 07:36:55,964 - INFO - ✅ CEP 07141736 atualizado para 07417325: Antonio Armando Justiça, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:56,396 - INFO - ✅ CEP 08671035 atualizado: Senador Roberto Simonsen, Jardim dos Ipês (IBGE: 355250)
2025-04-29 07:36:56,716 - INFO - ✅ CEP 07411400 atualizado: dos Lilazes, Cidade Nova Arujá (IBGE: 350390)
2025-04-29 07:36:58,235 - INFO - ✅ CEP 07088809 atualizado para 07404055: Serra da Mantiqueira, Mirante do Arujá (IBGE: 350390)
2025-04-29 07:36:58,471 - INFO - ✅ CEP 07402120 atualizado: Raposo Tavares, Vila Lima (IBGE: 350390)
2025-04-29 07:36:58,750 - INFO - ✅ CEP 07434130 atualizado: Limoeiro, Jardim Limoeiro (IBGE: 350390)
2025-04-29 07:36:59,020 - INFO - ✅ CEP 07417280 atualizado: Angelo de Araújo Franco, Parque Rodrigo Barreto (IBGE: 350390)
2025-04-29 07:36:59,258 - INFO - ✅ CEP 07400190 atualizado: Angelina Augusto Fernandes, Jardim Vitória (IBGE: 350390)
